SA2_5digitcode_2016,ALP_TPP_2019,LNP_TPP_2019,ALP_TPP_2019_pc,LNP_TPP_2019_pc,ALP_TPP_2016_pc,LNP_TPP_2016_pc,ALP_TPP_swing,LNP_TPP_swing
11007,1136.717408,955.4614128,54.33,45.67,53.51,46.49,0.82,-0.82
11008,2695.547007,2073.538145,56.52,43.48,59.38,40.62,-2.86,2.86
11009,3238.013594,2429.920942,57.13,42.87,58.78,41.22,-1.65,1.65
11010,1482.973728,1171.086842,55.88,44.12,56.51,43.49,-0.63,0.63
11011,5300.286582,4910.686052,51.91,48.09,53.02,46.98,-1.11,1.11
11012,3693.255251,3327.737498,52.6,47.4,52.89,47.11,-0.29,0.29
11013,528.2620688,760.2820855,41,59,50,50,-9,9
11014,1732.107835,2166.498745,44.43,55.57,48.42,51.58,-3.99,3.99
11015,874.7978559,1167.695752,42.83,57.17,46.93,53.07,-4.1,4.1
11016,1560.787758,2093.146679,42.72,57.28,43.51,56.49,-0.79,0.79
11017,2430.307648,2435.376379,49.95,50.05,47.67,52.33,2.28,-2.28
11018,2633.374505,2578.019041,50.53,49.47,48.13,51.87,2.4,-2.4
11019,2870.726979,2281.870461,55.71,44.29,60.99,39.01,-5.28,5.28
11020,3246.435597,2590.287614,55.62,44.38,59.2,40.8,-3.58,3.58
11021,1160.393133,1002.713021,53.64,46.36,50.97,49.03,2.67,-2.67
11022,12.28285723,11.22801566,52.24,47.76,53.46,46.54,-1.22,1.22
11023,802.9824108,987.1982177,44.85,55.15,49.22,50.78,-4.37,4.37
11024,1075.347507,966.369088,52.67,47.33,49.86,50.14,2.81,-2.81
11025,3270.739655,3509.548466,48.24,51.76,49.3,50.7,-1.06,1.06
11026,2695.868852,2225.640029,54.78,45.22,50.82,49.18,3.96,-3.96
11027,3096.370831,2708.890713,53.34,46.66,54.06,45.94,-0.72,0.72
11028,1948.099365,2192.291773,47.05,52.95,48.21,51.79,-1.16,1.16
11029,3055.706118,3585.851846,46.01,53.99,49.32,50.68,-3.31,3.31
11030,941.7952099,1474.198005,38.98,61.02,39.46,60.54,-0.48,0.48
11031,3335.957974,4685.067561,41.59,58.41,44.41,55.59,-2.82,2.82
11032,4813.097251,5268.740209,47.74,52.26,49.68,50.32,-1.94,1.94
11033,1583.188766,1811.651959,46.64,53.36,51.28,48.72,-4.64,4.64
11034,1900.257853,2441.029487,43.77,56.23,48.74,51.26,-4.97,4.97
11035,1805.60988,1968.36097,47.84,52.16,50.73,49.27,-2.89,2.89
11036,2089.690307,2119.14247,49.65,50.35,51.94,48.06,-2.29,2.29
11037,1773.421653,1842.096238,49.05,50.95,51.09,48.91,-2.04,2.04
11038,1712.267363,2500.367529,40.65,59.35,46.82,53.18,-6.17,6.17
11039,3205.056029,4683.273258,40.63,59.37,42.56,57.44,-1.93,1.93
11040,7021.921321,6943.673357,50.28,49.72,54.58,45.42,-4.3,4.3
11041,2359.101637,3197.811243,42.45,57.55,43.95,56.05,-1.5,1.5
11042,4077.0069,4024.021261,50.33,49.67,54.4,45.6,-4.07,4.07
11043,3175.287605,2831.70516,52.86,47.14,54.03,45.97,-1.17,1.17
11044,6441.61463,6245.945286,50.77,49.23,53.97,46.03,-3.2,3.2
11045,3419.77667,2362.387581,59.14,40.86,64.14,35.86,-5,5
11046,2622.180841,2252.746938,53.79,46.21,60.94,39.06,-7.15,7.15
11047,4667.557532,4538.813393,50.7,49.3,54.54,45.46,-3.84,3.84
11048,6789.298094,5322.588318,56.05,43.95,61.04,38.96,-4.99,4.99
11049,946.5416798,1047.209224,47.48,52.52,48.11,51.89,-0.63,0.63
11050,3078.647918,2964.15415,50.95,49.05,59.92,40.08,-8.97,8.97
11051,1368.636546,1423.251066,49.02,50.98,52.24,47.76,-3.22,3.22
11052,1764.07004,1790.061539,49.63,50.37,56.92,43.08,-7.29,7.29
11053,4585.900584,4632.835674,49.75,50.25,52.66,47.34,-2.91,2.91
11054,3068.66216,2573.449558,54.39,45.61,57.17,42.83,-2.78,2.78
11055,1512.838073,1366.666599,52.54,47.46,54.26,45.74,-1.72,1.72
11056,4787.51784,4342.610895,52.44,47.56,55.38,44.62,-2.94,2.94
11057,2620.365128,2229.791123,54.03,45.97,58.09,41.91,-4.06,4.06
11058,5640.563365,8443.430732,40.05,59.95,42.48,57.52,-2.43,2.43
11059,2627.06795,4013.950701,39.56,60.44,41.81,58.19,-2.25,2.25
11060,1546.021528,2676.017264,36.62,63.38,38.73,61.27,-2.11,2.11
11061,886.6933975,1699.005102,34.29,65.71,41.1,58.9,-6.81,6.81
11062,813.6291882,2185.890661,27.13,72.87,33.69,66.31,-6.56,6.56
11063,1698.446622,3741.942932,31.22,68.78,36.4,63.6,-5.18,5.18
11064,866.1227671,2307.060373,27.3,72.7,29.54,70.46,-2.24,2.24
11065,1436.461697,4390.304724,24.65,75.35,26.55,73.45,-1.9,1.9
11066,487.9007899,1680.289046,22.5,77.5,25.94,74.06,-3.44,3.44
11067,1782.265962,4528.582552,28.24,71.76,32.79,67.21,-4.55,4.55
11068,534.0772276,1303.428513,29.07,70.93,31.97,68.03,-2.9,2.9
11069,560.0727628,2697.540197,17.19,82.81,19.83,80.17,-2.64,2.64
11070,3241.486623,4183.896245,43.65,56.35,52.93,47.07,-9.28,9.28
11071,2028.453816,3082.659978,39.69,60.31,50.18,49.82,-10.49,10.49
11072,2349.772016,4677.36475,33.44,66.56,33.54,66.46,-0.1,0.1
