SA1_7DIG16,state_ab,div_nm,v_lnp_sa1,v_alp_sa1,v_t_sa1,p_lnp_sa1,p_alp_sa1,swing
4100101,SA,Adelaide,136.5,194.3,330.8,41.26,58.74,-0.77
4100102,SA,Adelaide,109,147.6,256.6,42.47,57.53,-0.16
4100103,SA,Adelaide,60.78,78.78,139.56,43.55,56.45,0.18
4100104,SA,Adelaide,162.2,237.3,399.5,40.6,59.4,-1.1
4100105,SA,Adelaide,111.1,161.8,272.9,40.72,59.28,-0.22
4100106,SA,Adelaide,126.2,179,305.2,41.35,58.65,-0.47
4100107,SA,Adelaide,111.9,152.3,264.20000000000005,42.35,57.65,-0.21
4100108,SA,Adelaide,70.85,96.22,167.07,42.41,57.59,-0.23
4100111,SA,Adelaide,2.43,3.43,5.86,41.51,58.49,-2.19
4100113,SA,Adelaide,130.9,191.2,322.1,40.64,59.36,-0.53
4100114,SA,Adelaide,133.2,189.1,322.29999999999995,41.34,58.66,-0.91
4100115,SA,Adelaide,93.36,142.1,235.45999999999998,39.65,60.35,-1.41
4100116,SA,Adelaide,142.8,212.6,355.4,40.19,59.81,-0.91
4100117,SA,Adelaide,78.57,118,196.57,39.97,60.03,-1.67
4100118,SA,Adelaide,67.01,104.8,171.81,38.99,61.01,-2.35
4100119,SA,Adelaide,95.67,155.8,251.47000000000003,38.04,61.96,-3.29
4100120,SA,Adelaide,38.68,67.09,105.77000000000001,36.57,63.43,-4.42
4100122,SA,Adelaide,10.16,14.94,25.1,40.47,59.53,-2.26
4100126,SA,Adelaide,0.91,1.04,1.9500000000000002,46.54,53.46,NA
4100130,SA,Adelaide,103.7,136.2,239.89999999999998,43.22,56.78,-0.6
4100133,SA,Adelaide,70.64,121.2,191.84,36.83,63.17,-5.04
4100134,SA,Adelaide,49.58,67.43,117.01,42.37,57.63,-0.12
4100135,SA,Adelaide,15.43,23.41,38.84,39.74,60.26,-1.01
4100136,SA,Adelaide,73.01,96.93,169.94,42.96,57.04,-0.51
4100138,SA,Adelaide,79.36,117.5,196.86,40.32,59.68,-0.48
4100139,SA,Adelaide,14.53,23.32,37.85,38.38,61.62,-0.32
4100140,SA,Adelaide,56.02,77.52,133.54,41.95,58.05,-0.82
4100141,SA,Adelaide,37.92,52.6,90.52000000000001,41.89,58.11,-1.12
4100142,SA,Adelaide,54.58,71.33,125.91,43.35,56.65,-0.11
4100143,SA,Adelaide,33.42,45.5,78.92,42.34,57.66,-0.36
4100144,SA,Adelaide,81.86,121.7,203.56,40.22,59.78,-0.54
4100145,SA,Adelaide,44.88,87,131.88,34.03,65.97,-6.01
