SA2_5DIG16,v_lnp_sa2,v_alp_sa2,v_t_sa2,p_lnp_sa2,p_alp_sa2,p_lnp_sa2_16,swing
11007,955.4614128,1136.717408,2092.1788208,45.67,54.33,46.49,-0.82
11008,2073.538145,2695.547007,4769.085152,43.48,56.52,40.62,2.86
11009,2429.920942,3238.013594,5667.934536000001,42.87,57.13,41.22,1.65
11010,1171.086842,1482.973728,2654.0605699999996,44.12,55.88,43.49,0.63
11011,4910.686052,5300.286582,10210.972634,48.09,51.91,46.98,1.11
11012,3327.737498,3693.255251,7020.992749,47.4,52.6,47.11,0.29
11013,760.2820855,528.2620688,1288.5441543,59,41,50,9
11014,2166.498745,1732.107835,3898.6065799999997,55.57,44.43,51.58,3.99
11015,1167.695752,874.7978559,2042.4936079,57.17,42.83,53.07,4.1
11016,2093.146679,1560.787758,3653.934437,57.28,42.72,56.49,0.79
11017,2435.376379,2430.307648,4865.684026999999,50.05,49.95,52.33,-2.28
11018,2578.019041,2633.3745050000002,5211.393546,49.47,50.53,51.87,-2.4
11019,2281.870461,2870.726979,5152.59744,44.29,55.71,39.01,5.28
11020,2590.287614,3246.435597,5836.723211,44.38,55.62,40.8,3.58
11021,1002.713021,1160.393133,2163.106154,46.36,53.64,49.03,-2.67
11022,11.22801566,12.28285723,23.51087289,47.76,52.24,46.54,1.22
11023,987.1982177,802.9824108,1790.1806285,55.15,44.85,50.78,4.37
11024,966.369088,1075.347507,2041.7165949999999,47.33,52.67,50.14,-2.81
11025,3509.548466,3270.739655,6780.288121,51.76,48.24,50.7,1.06
11026,2225.640029,2695.868852,4921.508881,45.22,54.78,49.18,-3.96
11027,2708.890713,3096.370831,5805.261544,46.66,53.34,45.94,0.72
11028,2192.291773,1948.099365,4140.391138,52.95,47.05,51.79,1.16
11029,3585.851846,3055.706118,6641.557964,53.99,46.01,50.68,3.31
11030,1474.198005,941.7952099,2415.9932149,61.02,38.98,60.54,0.48
11031,4685.067561,3335.957974,8021.025535,58.41,41.59,55.59,2.82
11032,5268.740209,4813.097251,10081.837459999999,52.26,47.74,50.32,1.94
