region,SA2_5DIG16,v_lnp_sa2,v_alp_sa2,v_t_sa2,p_lnp_sa2,p_alp_sa2,p_lnp_sa2_16,swing,coal,mining,coal_lab,min_lab
Clermont,31339,1079.369149,313.0694173,1392.4385663,77.52,22.48,59.54,17.98,20.384138785625776,21.189591078066915,coal,mining
Charleville,31409,1343.026581,494.7610864,1837.7876674000001,73.08,26.92,55.82,17.26,0,0.5869797225186766,non_coal,non_mining
Palm Island,31466,177.4573328,337.8628955,515.3202282999999,34.44,65.56,18.67,15.77,0,0,non_coal,non_mining
East Pilbara,51267,152.1043656,151.4340661,303.5384317,50.11,49.89,34.91,15.2,0.40683482506102525,70.4909140222403,non_coal,mining
Collinsville,31340,837.506109,601.1300742,1438.6361832,58.22,41.78,43.28,14.94,13.146233382570163,16.912850812407683,coal,mining
Ooralea - Bakers Creek,31350,1709.721392,802.814221,2512.535613,68.05,31.95,53.13,14.92,12.489233419465979,14.642549526270457,coal,mining
Sarina,31352,3864.876113,2099.153985,5964.030097999999,64.8,35.2,49.94,14.86,12.31375985977213,14.548641542506575,coal,mining
Longreach,31412,1165.693232,377.2975488,1542.9907808,75.55,24.45,61.03,14.52,0.16556291390728478,0.8278145695364238,non_coal,non_mining
Broadsound - Nebo,31338,1350.71844,836.9488614,2187.6673014000003,61.74,38.26,47.29,14.45,40.532544378698226,42.146315223238304,coal,mining
Gundagai,11264,1180.633025,753.2156115,1933.8486365,61.05,38.95,46.62,14.43,0,0.5532503457814661,non_coal,non_mining
Bowen,31337,2835.331373,1511.266454,4346.597827,65.23,34.77,50.86,14.37,4.235162998049596,5.12677626079688,coal,mining
Eimeo - Rural View,31344,3704.409157,2156.365349,5860.774506,63.21,36.79,48.91,14.3,13.653399964304835,15.90219525254328,coal,mining
Cessnock,11108,5257.808645,6648.147263,11905.955908,44.16,55.84,29.94,14.22,9.528301886792454,10.579514824797844,coal,mining
Slade Point,31355,1047.502973,721.362532,1768.8655050000002,59.22,40.78,45.14,14.08,11.29032258064516,13.82488479262673,coal,mining
East Mackay,31343,1170.801778,715.8723412,1886.6741192,62.06,37.94,48.04,14.02,9.446693657219974,10.458839406207828,coal,mining
Andergrove - Beaconsfield,31342,4776.797499,2997.984009,7774.781508,61.44,38.56,47.52,13.92,10.906580763920847,12.287160607455132,coal,mining
West Wallsend - Barnsley - Killingworth,11221,1624.724915,2329.940801,3954.6657160000004,41.08,58.92,27.2,13.88,2.9422190712513294,3.5448422545196743,coal,mining
Shoal Point - Bucasia,31354,1778.650791,1054.505702,2833.156493,62.78,37.22,48.9,13.88,14.046288906624103,15.482841181165202,coal,mining
South Mackay,31356,2254.275814,1341.556542,3595.832356,62.69,37.31,48.85,13.84,7.470049330514447,9.548978153629315,coal,mining
Pioneer Valley,31351,2665.815166,1252.701615,3918.516781,68.03,31.97,54.46,13.57,15.175995383727638,16.849394114252743,coal,mining
Berserker,31205,1878.509518,1533.8896,3412.3991180000003,55.05,44.95,41.56,13.49,2.453502176493866,3.3636723387415906,coal,mining
Carpentaria,31404,780.0143892,698.7119343,1478.7263235,52.75,47.25,39.41,13.34,0,0,non_coal,non_mining
Chiltern - Indigo Valley,21070,1272.384074,715.5799245,1987.9639985,64,36,50.79,13.21,0,0.21770682148040638,non_coal,non_mining
Walkerston - Eton,31357,3194.182006,1365.188262,4559.370268,70.06,29.94,56.87,13.19,11.076197957580519,13.40665095574758,coal,mining
Muswellbrook,11126,3164.868542,3187.208232,6352.076774,49.82,50.18,36.75,13.07,22.507552870090635,24.27708243418213,coal,mining
Palmerston - South,71042,962.0370252,678.1420461,1640.1790713,58.65,41.35,45.61,13.04,0,2.6217228464419478,non_coal,mining
North Mackay,31349,1992.961233,1240.127611,3233.088844,61.64,38.36,48.72,12.92,8.557980316645272,10.183996576807873,coal,mining
Mount Morgan,31212,670.2016221,782.1671323,1452.3687544,46.15,53.85,33.25,12.9,5.747126436781609,7.717569786535304,coal,mining
West Mackay,31358,1973.604333,1164.348835,3137.953168,62.89,37.11,50.02,12.87,7.649623464130004,9.116131589377725,coal,mining
Mackay Harbour,31347,159.0697034,98.28299404,257.35269744000004,61.81,38.19,49.01,12.8,17.647058823529413,17.647058823529413,coal,mining
Mackay,31346,992.5362849,615.8433678,1608.3796527,61.71,38.29,48.97,12.74,6.6431095406360425,8.33922261484099,coal,mining
Mount Pleasant - Glenella,31348,3761.993749,2098.206245,5860.1999940000005,64.2,35.8,51.58,12.62,10.701330108827085,12.051592099959693,coal,mining
Parkhurst - Kawana,31215,2121.786372,1530.927958,3652.71433,58.09,41.91,45.56,12.53,3.5547576301615798,4.883303411131059,coal,mining
Lakes Creek,31211,1384.558071,1069.621184,2454.179255,56.42,43.58,44.08,12.34,2.5830258302583027,3.584607274644175,coal,mining
Frenchville - Mount Archer,31208,2887.138501,2097.809775,4984.948276,57.92,42.08,45.61,12.31,3.088803088803089,4.078185328185328,coal,mining
Goondiwindi,31173,2623.176053,613.4542935,3236.6303465,81.05,18.95,68.75,12.3,0.14641288433382138,0.29282576866764276,non_coal,non_mining
Wollangambe - Wollemi,11075,0.559885932,0.378010139,0.937896071,59.7,40.3,47.41,12.29,NaN,NA,NA,NA
Grafton,11080,7304.034967,3996.667238,11300.702205,64.63,35.37,52.45,12.18,0,0.2735317779565567,non_coal,non_mining
Barcaldine - Blackall,31408,1375.418822,629.3991563,2004.8179783,68.61,31.39,56.61,12,0.9082652134423252,1.0445049954586738,coal,non_mining
Inglewood - Waggamba,31174,1341.928343,422.5877251,1764.5160681,76.05,23.95,64.15,11.9,0,1.264367816091954,non_coal,non_mining
West Wodonga,21073,5591.581477,3153.54928,8745.130756999999,63.94,36.06,52.08,11.86,0,0.22245291413317514,non_coal,non_mining
Rockhampton Region - West,31220,998.9478789,406.3010041,1405.248883,71.09,28.91,59.34,11.75,7.368421052631578,9.398496240601503,coal,mining
